"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Capillaries","ExNeuron7","Disease_effect",0.913762692945615,0.0135864826630777,0.615043083803231,1.28480301401248,0.371040321066867,4,TRUE,FALSE
"Capillaries","Oligodendrocytes7","Disease_effect",0.549832978180483,0.148352965638169,0.30788620225465,0.915028683992949,0.365195705812465,4,FALSE,FALSE
"Capillaries","ExNeuron12","Disease_effect",0.686112009069983,0.0272455991720254,0.503039971344947,1.04831617629004,0.362204167220053,4,TRUE,FALSE
"Arteries","ExNeuron6","Disease_effect",0.171540305781894,0.538722991055136,-0.0950120966485481,0.531926030530485,0.360385724748591,4,FALSE,TRUE
"Capillaries","InhNeuron4","Disease_effect",0.569595241465893,0.0352895328982029,0.210279429149413,0.858181368581661,0.35931581231648,4,TRUE,FALSE
"Parenchyma","ExNeuron11","Disease_effect",0.735020937505357,5.08983105469903e-06,0.379351671564412,1.07667931332958,0.355669265940945,4,FALSE,FALSE
"Parenchyma","Oligodendrocytes3","Disease_effect",0.883616002883867,4.551360844493e-05,0.625453798160855,1.22767219379048,0.344056190906608,4,FALSE,FALSE
"Capillaries","ExNeuron11","Disease_effect",0.43918601993648,0.277648686112764,0.157469921455855,0.782672775044544,0.343486755108063,4,FALSE,FALSE
"Capillaries","Microglia3","Disease_effect",0.640767709150791,0.0101764464459665,0.299210610308475,0.84863651121653,0.341557098842316,4,TRUE,FALSE
"Parenchyma","ExNeuron12","Disease_effect",0.63710764130566,0.00709398096656149,0.381517277320355,0.976811414934793,0.339703773629132,4,TRUE,FALSE
"Parenchyma","VLMC2","Disease_effect",1.02272146833007,2.02634416318249e-08,0.853157236466485,1.36034968239361,0.337628214063541,4,FALSE,FALSE
"Parenchyma","InhNeuron4","Disease_effect",0.661236856818264,0.0045283784112746,0.429488385661132,0.997898712823238,0.336661856004974,4,TRUE,FALSE
"Parenchyma","OPC2","Disease_effect",1.15203747961718,3.18326248432045e-11,0.978710349485606,1.48759939900502,0.335561919387842,4,FALSE,FALSE
"Capillaries","ExNeuron10","Disease_effect",0.281496192864365,0.302887875425601,0.114643021315579,0.61441027694287,0.332914084078504,4,FALSE,FALSE
"Parenchyma","Astrocytes2","Disease_effect",0.653644110745104,0.0293931958671585,0.351667725740875,0.982400289806811,0.328756179061706,4,TRUE,FALSE
"Capillaries","Microglia1","Disease_effect",0.394530030109659,0.177302973019117,0.0898857654668473,0.722535247397649,0.32800521728799,4,FALSE,FALSE
"Arteries","Pericytes","Disease_effect",0.269175172053028,0.30546624550958,-0.000717653025066232,0.593683690417888,0.32450851836486,4,FALSE,TRUE
"Capillaries","VLMC2","Disease_effect",0.497692732643503,0.11909700472722,0.176678454259634,0.667796414146411,0.321014278383869,4,FALSE,FALSE
"Parenchyma","Astrocytes1","Disease_effect",0.870012040499888,0.00381665793593257,0.659550831014186,1.18962574726661,0.319613706766721,4,TRUE,FALSE
"Capillaries","Oligodendrocytes5","Disease_effect",0.542262642946073,0.13924811377509,0.223807541244834,0.720170109201003,0.318455101701238,4,FALSE,FALSE
"Capillaries","ExNeuron5","Disease_effect",0.147990334656345,0.571108367022998,-0.0303863240319377,0.465758468828072,0.317768134171727,4,FALSE,TRUE
"Parenchyma","ExNeuron14","Disease_effect",0.738604635813074,0.0026202923778007,0.481849941049176,1.05385125720862,0.315246621395549,4,TRUE,FALSE
"Parenchyma","Oligodendrocytes5","Disease_effect",0.692976981498385,0.0142299969099467,0.482453487726049,1.00548887528979,0.3125118937914,4,TRUE,FALSE
"Capillaries","InhNeuron2","Disease_effect",0.699475540532323,0.0135864826630777,0.394730153777606,0.872272347079075,0.304745386754718,4,TRUE,FALSE
"Capillaries","SMC","Disease_effect",0.502572457404654,0.0521155823374388,0.200115412938899,0.669495709955416,0.302457044465755,4,TRUE,FALSE
"Arteries","Microglia1","Disease_effect",1.03391286039982,4.23802546387697e-06,0.743262727106971,1.33388821985902,0.299975359459196,4,FALSE,FALSE
"Parenchyma","ExNeuron13","Disease_effect",0.828759405776679,7.31262125839772e-05,0.529172051890773,1.04305581022261,0.299587353885906,4,FALSE,FALSE
"Arteries","InhNeuron1","Disease_effect",0.790064132243677,7.45891010168492e-06,0.491251268183847,0.996440867615719,0.29881286405983,4,FALSE,FALSE
"Capillaries","Oligodendrocytes1","Disease_effect",0.569758943013752,0.146668051732547,0.301507832206048,0.867427519022532,0.29766857600878,4,FALSE,FALSE
"Parenchyma","Astrocytes5","Disease_effect",0.852821510763394,0.00709398096656149,0.668396714117407,1.14936732235997,0.296545811596573,4,TRUE,FALSE
"Arteries","Oligodendrocytes4","Disease_effect",1.15423550298695,2.97600236887943e-06,0.858505331959926,1.40018031169186,0.295730171027028,4,FALSE,FALSE
"Capillaries","InhNeuron1","Disease_effect",0.537164467879524,0.11909700472722,0.244923789466609,0.825885810305642,0.292240678412915,4,TRUE,FALSE
"Arteries","Oligodendrocytes5","Disease_effect",0.966477242678947,0.00048204252704246,0.754834758392545,1.25679894779705,0.290321705118104,4,FALSE,FALSE
"Parenchyma","InhNeuron2","Disease_effect",0.733848432669241,0.000311478717180391,0.499645013549858,1.0212864560068,0.28743802333756,4,FALSE,FALSE
"Capillaries","ExNeuron13","Disease_effect",0.509062216888862,0.109782018424708,0.287634261712911,0.796130740985813,0.287068524096951,4,TRUE,FALSE
"Capillaries","ExNeuron2","Disease_effect",0.135779417868275,0.590564196157047,-0.149525289376818,0.347403989994274,0.285304707245093,4,FALSE,TRUE
