"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Arteries","Astrocytes1","AD_Amyloid_vs_Control",0.93261569629371,0.000462379607923026,0.588448747602029,1.28934114743098,0.356725451137266,4,FALSE,FALSE
"Arteries","Microglia4","AD_Amyloid_vs_Control",0.720518718010337,0.00508759468036119,0.367867994596329,0.961728609892965,0.352650723414008,4,TRUE,FALSE
"Capillaries","Astrocytes4","AD_Amyloid_vs_Control",1.44381896218333,1.98593219846701e-06,1.09308069612711,1.67252251909877,0.350738266056215,4,FALSE,FALSE
"Parenchyma","InhNeuron3","AD_Amyloid_vs_Control",0.713201413353243,0.000640540532487831,0.367735454243568,1.0550761972028,0.345465959109675,4,TRUE,FALSE
"Capillaries","Microglia3","AD_Amyloid_vs_Control",0.911836822430518,0.000167310537937988,0.569765468012711,1.16101904961344,0.342071354417807,4,FALSE,FALSE
"Capillaries","InhNeuron2","AD_Amyloid_vs_Control",0.882099835748825,0.000244979495940068,0.540550746461003,1.13879377188681,0.341549089287822,4,FALSE,FALSE
"Capillaries","ExNeuron12","AD_Amyloid_vs_Control",1.04863418605836,1.72942920634449e-05,0.709368444252665,1.25416142233988,0.339265741805693,4,FALSE,FALSE
"Parenchyma","Astrocytes4","AD_Amyloid_vs_Control",0.924232762762477,7.44239843691658e-05,0.585478010103782,1.10049773731167,0.338754752658695,4,TRUE,FALSE
"Parenchyma","ExNeuron2","AD_Amyloid_vs_Control",0.642834816037124,0.00312184708641318,0.30410931223042,0.963722057362878,0.338725503806703,4,TRUE,FALSE
"Capillaries","ExNeuron13","AD_Amyloid_vs_Control",1.05420815653261,1.8802323744097e-05,0.720185367069841,1.25985001746341,0.334022789462767,4,FALSE,FALSE
"Capillaries","InhNeuron4","AD_Amyloid_vs_Control",0.863277153148522,0.000258782837893675,0.529352929837196,1.10920413464236,0.333924223311326,4,FALSE,FALSE
