"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Arteries","Astrocytes1","AD_overall_vs_Control",0.70038381107938,0.0048472886574423,0.512805284178367,1.06993122537574,0.369547414296358,4,TRUE,FALSE
"Capillaries","InhNeuron1","AD_overall_vs_Control",0.735426712425379,0.00272978238618345,0.366082765672486,0.987863629653607,0.369343946752893,4,TRUE,FALSE
"Capillaries","ExNeuron9","AD_overall_vs_Control",0.645277480048765,0.0572796006397044,0.282451222436558,0.994789457959624,0.362826257612206,4,TRUE,FALSE
"Capillaries","ExNeuron6","AD_overall_vs_Control",0.532996264325952,0.0680821948163233,0.207264830580599,0.894896300330543,0.361900036004591,4,TRUE,FALSE
"Capillaries","Microglia3","AD_overall_vs_Control",0.772993607128349,0.00042205634561551,0.412258808191641,1.02607416388397,0.360734798936708,4,TRUE,FALSE
"Arteries","ExNeuron10","AD_overall_vs_Control",1.00036822309508,1.37475959593539e-06,0.783978497821677,1.3606407931202,0.360272570025128,4,FALSE,FALSE
"Arteries","ExNeuron6","AD_overall_vs_Control",0.334642482648079,0.223779994232662,0.0583977863708088,0.686562656203763,0.351920173555684,4,TRUE,FALSE
"Parenchyma","ExNeuron13","AD_overall_vs_Control",0.802234742649868,3.76461303386735e-05,0.451770101499145,0.978049206386428,0.350464641150723,4,TRUE,FALSE
"Capillaries","Microglia1","AD_overall_vs_Control",0.658403273589933,0.00655006871304581,0.308749182318208,0.994449609990278,0.349654091271726,4,TRUE,FALSE
"Capillaries","InhNeuron5","AD_overall_vs_Control",0.778315747771435,0.000893398457020364,0.42920534774521,1.03828313481526,0.349110400026224,4,TRUE,FALSE
"Capillaries","ExNeuron11","AD_overall_vs_Control",0.6744609519525,0.00638377636059444,0.332196782539236,0.942628565607936,0.342264169413264,4,TRUE,FALSE
"Capillaries","Astrocytes1","AD_overall_vs_Control",0.862222180517191,0.00806717866835976,0.630312736337977,1.20122859132603,0.339006410808836,4,TRUE,FALSE
"Capillaries","ExNeuron14","AD_overall_vs_Control",0.779391652969674,0.00042205634561551,0.515363915889973,1.11805349203792,0.338661839068246,4,TRUE,FALSE
"Parenchyma","ExNeuron7","AD_overall_vs_Control",0.60899382215784,0.012820872220249,0.385214592096654,0.940004854962193,0.331011032804353,4,TRUE,FALSE
"Parenchyma","InhNeuron3","AD_overall_vs_Control",0.725649191830325,0.00027332957581325,0.395937434505825,1.04985801960162,0.3297117573245,4,TRUE,FALSE
"Capillaries","Oligodendrocytes5","AD_overall_vs_Control",0.747614958550476,0.00901072784494461,0.419227983524395,0.994924004607849,0.328386975026081,4,TRUE,FALSE
"Parenchyma","OPC1","AD_overall_vs_Control",0.779657956698198,0.00013769049425392,0.586765641333747,1.1064104225744,0.326752465876203,4,FALSE,FALSE
"Capillaries","SMC","AD_overall_vs_Control",0.782934464313625,0.000475096359711712,0.45937393067677,0.970983820794585,0.323560533636855,4,TRUE,FALSE
"Capillaries","InhNeuron2","AD_overall_vs_Control",0.771941903367639,0.00108518470878088,0.44908582577635,0.977109876507816,0.322856077591289,4,TRUE,FALSE
"Arteries","Astrocytes4","AD_overall_vs_Control",0.542533155148207,0.0159682728559171,0.32786717498321,0.863399092458388,0.320865937310181,4,TRUE,FALSE
"Capillaries","InhNeuron4","AD_overall_vs_Control",0.690439599280188,0.00272978238618345,0.372074337219867,0.960101152136121,0.318365262060321,4,TRUE,FALSE
"Capillaries","ExNeuron13","AD_overall_vs_Control",0.752173248715109,0.00272978238618345,0.439519504661467,1.00057836827599,0.312653744053642,4,TRUE,FALSE
"Parenchyma","Microglia2","AD_overall_vs_Control",0.572996400711731,0.0116574066761566,0.275439117910145,0.885450511805894,0.312454111094163,4,TRUE,FALSE
"Capillaries","ExNeuron12","AD_overall_vs_Control",0.852088820962409,0.000893398457020364,0.568482978520987,1.16389779217528,0.311808971212873,4,TRUE,FALSE
"Parenchyma","Microglia5","AD_overall_vs_Control",0.942744843745654,0.000304870299452424,0.662497218255601,1.25218644668535,0.309441602939697,4,TRUE,FALSE
"Capillaries","ExNeuron7","AD_overall_vs_Control",0.947915570364042,0.00196368220385849,0.639794632323873,1.20413413826817,0.30812093804017,4,TRUE,FALSE
"Capillaries","Oligodendrocytes3","AD_overall_vs_Control",0.774417089745281,0.0024355821587117,0.466872458212061,0.956690523273319,0.30754463153322,4,TRUE,FALSE
"Arteries","Oligodendrocytes6","AD_overall_vs_Control",0.826587486313282,0.00246246763546968,0.521783688722633,0.948894901261843,0.304803797590649,4,TRUE,FALSE
"Parenchyma","Astrocytes4","AD_overall_vs_Control",0.790268857307635,0.000623437596957928,0.486942963056751,1.05840894726665,0.303325894250885,4,TRUE,FALSE
"Parenchyma","ExNeuron12","AD_overall_vs_Control",0.759062352518194,7.80273848188213e-05,0.459678296178208,0.956366546416215,0.299384056339986,4,FALSE,FALSE
"Arteries","ExNeuron2","AD_overall_vs_Control",1.01804970661314,2.03748192276439e-07,0.79572442686097,1.31702469189744,0.298974985284304,4,FALSE,FALSE
"Arteries","Endothelial","AD_overall_vs_Control",0.435775724714456,0.0806747022173169,0.165514512152149,0.732644688272385,0.296868963557929,4,TRUE,FALSE
"Arteries","Pericytes","AD_overall_vs_Control",0.407668403498474,0.0870960600542336,0.117160264763986,0.698904692681096,0.291236289182621,4,TRUE,FALSE
"Arteries","Microglia1","AD_overall_vs_Control",1.00251794348076,8.25397888343156e-06,0.715620408472993,1.21167823685272,0.286897535007768,4,FALSE,FALSE
"Parenchyma","ExNeuron14","AD_overall_vs_Control",0.809268694194448,6.33745542158943e-05,0.523457407659556,1.05758032637618,0.285811286534893,4,FALSE,FALSE
"Parenchyma","ExNeuron1","AD_overall_vs_Control",0.7260695851745,0.00675786478779086,0.53256166487398,1.0106847423728,0.284615157198296,4,TRUE,FALSE
"Arteries","Microglia4","AD_overall_vs_Control",0.919612704205916,0.000330832692999101,0.639678427041167,1.03644200835961,0.279934277164749,4,FALSE,FALSE
"Parenchyma","Microglia4","AD_overall_vs_Control",0.856625186237129,9.12332694546939e-05,0.579183897846819,1.01572019813688,0.27744128839031,4,FALSE,FALSE
"Arteries","ExNeuron1","AD_overall_vs_Control",0.364059833877243,0.132252612096441,0.149297690663342,0.632144658529977,0.268084824652734,4,TRUE,FALSE
"Arteries","OPC3","AD_overall_vs_Control",1.10788428316459,1.68333618638099e-08,0.905510035888635,1.37488258966942,0.266998306504831,4,FALSE,FALSE
"Parenchyma","Oligodendrocytes6","AD_overall_vs_Control",0.634494964395373,0.00741800750317482,0.369656094188507,0.803092958882976,0.264838870206866,4,TRUE,FALSE
"Parenchyma","ExNeuron9","AD_overall_vs_Control",0.557075147122887,0.0271593379702034,0.29306035764141,0.749961813535514,0.264014789481477,4,TRUE,FALSE
"Parenchyma","VLMC2","AD_overall_vs_Control",0.829956239648686,7.44926136542608e-06,0.674510665164004,1.09010287541324,0.260146635764556,4,FALSE,FALSE
"Parenchyma","ExNeuron8","AD_overall_vs_Control",0.677601278910932,0.00143431769199674,0.428830655144228,0.93770584098667,0.260104562075738,4,TRUE,FALSE
