ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2534_D_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 002,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.06328629,0.05533114,0.15766634,0.11588518,0.078835346,1.8081276,0.08418855,0.41694894,0.14759578,0.095780954,0.13496566,0.1359189,0.31622157,0.053624086,0.05754782,0.119053654,0.06646826,0.07963738,0.07690586,0.11565773,22.803968,0.13406655,0.17029895,0.23924059,0.08094231,0.10713739,0.60785884,0.43125767,0.23185918,1.633457,4.0037794,0.522719,0.38994816,0.27621758,0.94283825,0.32901764,0.60662144,1.3337876,2.5157304,1.3382796,3.6963654,0.28963256,0.28121126,0.33171734,0.59106815,0.5131854
2534_D_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 003,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.1757715,0.3386038,0.392437,0.14334093,0.43536866,18.28044,0.150741,0.61183333,0.67081034,0.25024235,0.24184883,0.24985018,0.6461129,0.15040135,0.16229549,0.44596502,0.30640554,0.10527137,0.112620115,0.12402945,52.603413,0.39359412,0.2866943,0.24650542,0.47163782,0.19462705,3.2285895,0.55635536,0.23294596,0.6638809,8.88545,1.0110418,0.43619397,0.4760013,1.1431284,0.55607295,0.18660615,0.34415963,0.508379,0.26526996,0.6056772,0.8157879,6.8037977,0.4847958,3.5473146,1.1789632
2534_D_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 004,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.3051803,0.8427021,0.89399666,0.35403425,0.644094,8.864838,0.27211186,0.97547877,1.5459216,0.34585497,0.3091955,0.42419702,0.6725726,0.18521404,0.23072165,0.6975025,0.3794721,0.13758741,0.18270627,0.1890979,65.766335,0.67473644,0.38607523,0.6905147,0.40378585,0.2720427,3.5037587,1.0496737,0.8764627,1.9561402,12.332611,0.8660818,0.92751986,0.92288214,2.7935853,2.2460158,1.0655549,1.11042,0.9045631,2.0841026,5.3993235,1.22715,4.916683,1.4549173,3.7691376,2.9376802
2534_D_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 005,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.039793942,0.06780524,0.08807283,0.08032875,0.056202866,0.23260583,0.066761844,0.043119427,0.07051145,0.043254077,0.043715864,0.067604735,0.045070093,0.040265165,0.0412153,0.060132306,0.058760848,0.043593954,0.03934807,0.064105704,8.181803,0.060574085,0.084730476,0.05021949,0.18709472,0.051519886,0.16094413,0.2352922,0.12416257,0.26345128,2.282331,0.11168127,0.16730921,0.15603097,0.3706997,0.33031175,0.23792712,0.35642943,0.52528894,0.67850006,0.35069057,0.27865306,0.31941637,0.42970815,0.5513025,0.36499402
2534_D_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 006,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.07649801,0.116784886,0.19472091,0.11398273,0.12072075,4.9264092,0.1672254,0.24318446,0.26710126,0.18511625,0.18743363,0.20834868,0.26265848,0.1271618,0.117458105,0.2644761,0.14129129,0.111432485,0.12736063,0.18030974,22.239489,0.200544,0.38024634,0.116332,0.2139781,0.14911802,1.2252824,1.5196017,0.34990987,0.9559037,2.7460082,0.19259842,0.22941427,0.19947302,2.8366008,2.6481357,0.20866196,0.28955662,0.3910342,0.91385096,5.925981,1.5808933,0.8033393,0.26962912,0.24991332,0.8138495
2534_D_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 007,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.12048653,0.107536815,0.43131664,0.18644452,0.54914653,0.29145092,0.14089045,0.34175983,0.40873888,0.19755748,0.22191326,0.2261722,0.4311125,0.087303594,0.08588158,0.24102604,0.10047563,0.0943532,0.13623595,0.13907816,30.640848,0.2529956,0.42230645,0.27144262,0.2728004,0.30524796,0.643042,0.9853803,0.6536766,2.9892476,4.0473676,1.199434,1.0447402,0.9366551,6.0003695,0.8733901,0.91189045,0.6677798,1.0903552,5.406811,4.2480035,0.762802,0.17733331,0.32036448,0.48601803,0.87684023
2534_D_008,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 008,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.036863767,0.03259357,0.061912768,0.06953124,0.050481923,1.0179108,0.08132788,0.059290968,0.10017463,0.07915873,0.057131995,0.07045465,0.06281492,0.052984033,0.06550751,0.08493836,0.07366711,0.075671084,0.04969253,0.073303916,7.903561,0.07875526,0.12756719,0.082189076,0.06878533,0.083304346,0.20696796,0.2811047,0.16439864,0.16098921,1.6282907,0.119627126,0.11143517,0.1227371,0.17623758,0.14281556,0.26130438,0.31256133,0.2891334,0.17332122,0.17709838,0.26460913,0.31043714,0.23916687,0.21270043,0.15847516
2534_E_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_E,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,1.0096539,2.9060786,0.050013237,0.5996077,0.1449439,0.9452502,2.7307138,0.024112297,0.13043343,0.20636682,0.10846034,0.09843905,0.028155716,6.062008,2.9629624,0.08030262,0.58669215,0.88558495,0.15480013,0.07955441,13.478417,0.07460645,0.13590506,0.062139492,0.09569917,0.07822522,0.10848941,0.2640667,0.25337476,0.046550643,0.44703877,0.036922187,0.038730923,0.044262134,0.039505444,0.2509241,0.107271776,0.042005535,0.06858877,0.049340453,0.101531066,0.6830393,0.09394417,0.13766906,0.05627278,0.07685304
2534_E_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_E 002,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,0.07796067,0.054841693,0.22266552,0.11898099,0.12361165,0.09727493,0.08108009,0.18466248,0.32518405,0.081988536,0.07577574,0.10680958,0.25150982,0.04406344,0.054587215,0.16207224,0.07590224,0.07001123,0.06981203,0.08440011,21.95349,0.18462306,0.2304839,0.39161858,0.18872786,0.17777616,0.35449773,0.35250574,0.2446642,1.3483027,3.7968545,0.46642342,0.4173941,0.3429965,3.823615,0.28595096,0.4820853,1.3972667,2.0892358,3.7991548,0.9792532,0.78670806,0.13645533,0.37860492,0.32956225,0.21556957
2534_E_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_E 003,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,0.055814616,0.045895323,0.18650453,0.13826191,0.16004255,0.9933916,0.101316966,0.43820086,0.41310975,0.14310089,0.13267729,0.19936241,0.47697973,0.0475747,0.0638762,0.23131557,0.07683184,0.07327405,0.07893521,0.14781418,27.849743,0.1478091,0.38627425,0.32037348,0.16716655,0.25068483,0.8152339,0.46340373,0.5438271,0.6455339,3.8774748,0.3251267,0.40356922,0.32926628,0.530462,0.16201371,0.781564,5.98829,2.8693104,3.218089,0.44225088,0.39826158,0.22888204,0.7836925,0.58640605,0.16780654
