"","Astrocytes1","Astrocytes2","Astrocytes3","Astrocytes4","Astrocytes5","Endothelial","ExNeuron1","ExNeuron10","ExNeuron11","ExNeuron12","ExNeuron13","ExNeuron14","ExNeuron2","ExNeuron3","ExNeuron4","ExNeuron5","ExNeuron6","ExNeuron7","ExNeuron8","ExNeuron9","Fibroblast","InhNeuron1","InhNeuron2","InhNeuron3","InhNeuron4","InhNeuron5","Microglia1","Microglia2","Microglia3","Microglia4","Microglia5","OPC1","OPC2","OPC3","Oligodendrocytes1","Oligodendrocytes2","Oligodendrocytes3","Oligodendrocytes4","Oligodendrocytes5","Oligodendrocytes6","Oligodendrocytes7","Oligodendrocytes8","Pericytes","SMC","VLMC1","VLMC2"
"Fibroblast",0.196066956221269,0.247842118384968,0.152733491669838,0.0568533025408198,0.383374667034077,0.408047168532151,-0.175275011262887,0.391599417391647,0.36852252796039,0.383269692555997,0.437957896486417,0.41590450821644,0.453424136256873,0.403260332331702,0.383873295804957,0.397885639054005,0.417731064135032,0.277465916099148,0.273756817873654,0.408253618339041,0.371286855883163,0.440916427193638,0.394493213837386,0.330654734567658,0.332470793038443,0.41419867294764,0.48579476614748,0.382499879716744,0.441313580635708,0.397848897986677,0.388915569902067,0.387715361702686,0.366195593696283,0.372247372357596,0.285321506208803,-0.0865733268599072,-0.0454985631618313,0.290545736067918,0.0782873413901245,0.165813311638608,0.171873838173094,-0.191693019634601,0.396281279114015,0.400711202088992,0.421214467232654,0.390259243221492
"InhNeuron1",0.443495300205138,0.376427106159815,0.417230685789517,0.397586461791477,0.231798518985072,0.26188245482817,0.287422745345038,0.347142725924759,0.367577757657669,0.293150852698938,0.301443836467259,0.379723304771527,0.322732660621886,0.372660271971377,0.287120068933241,0.33437433024096,0.342298153761367,0.330096620259199,0.387435429761139,0.278949555389346,0.333999921269141,0.405135876340065,0.345562860029655,0.324601206331711,0.322485970598398,0.328166839437162,0.263177140057823,0.18584069248164,0.287114820209337,0.220781447510574,0.291800181080975,0.292186837075236,0.346101729017133,0.295694734217743,0.145864661654135,-0.122857755208265,0.0283789753616152,0.256617984752457,0.267799516242614,0.0537862982062486,-0.109830422478535,-0.0270388011914603,0.33576874122479,0.18931184855682,0.297318339478714,0.314815835400018
"InhNeuron2",0.33983650225039,0.202603367056384,0.257541760159561,0.292729205211983,0.0876318195138807,0.194277141370004,0.236548614118192,0.260311336806239,0.318946581112467,0.24593858118245,0.257053628836489,0.347373669776536,0.26731838321808,0.282940335131021,0.245237001753949,0.287448988964558,0.330423790715882,0.242136755501319,0.325507485992468,0.299193883487077,0.276920048813132,0.266641297834464,0.340408613155926,0.240112497649009,0.280797106203554,0.295441045895717,0.259821455908532,0.15907744929514,0.197753546169088,0.203819321427478,0.256290814295774,0.264701019564618,0.302022945671334,0.250588950561395,0.101673905531718,-0.190986191482196,0.119244883587678,0.163376154172517,0.131595130933792,0.0108919768881191,-0.116653763553736,-0.0192776881120777,0.2090085597939,0.116690504621064,0.197708057228586,0.181601473141842
"InhNeuron3",0.383276690854536,0.334411071308288,0.409333105888631,0.399232811522699,0.22277421301946,0.27322669675935,0.222371810853486,0.358187790593412,0.383539127049736,0.330296071767551,0.326942137192895,0.380781797425501,0.334953439445035,0.381597099205256,0.328854422268586,0.370324589834097,0.370760233918129,0.368707982871664,0.420617862282233,0.328011127294676,0.362360526097093,0.413705292900663,0.367766711718213,0.414797027472696,0.336092412532203,0.346180459875693,0.255834175316126,0.248587437179336,0.276939294134114,0.254735442445555,0.304621064003814,0.306878015282534,0.386361190935454,0.354643152383577,0.181071352027538,-0.0588110765570121,0.152212118428707,0.30784727963014,0.288761169940558,0.135669890257931,-0.00466873991260875,0.0675624488796161,0.31323072078101,0.145913649743906,0.303613309014246,0.320939346621353
"InhNeuron4",0.407970187248225,0.290570230112804,0.356550188735364,0.439989152637265,0.157074186338446,0.178529220083367,0.392510945776308,0.317720129293565,0.307675821315943,0.263504310514506,0.255207827596915,0.35504555454955,0.265619546247818,0.300784246829989,0.276918299238498,0.231655053865029,0.282165273567864,0.280758615561592,0.413301141160055,0.270086210290123,0.2737288246795,0.275334934194124,0.296228354481317,0.329942657691349,0.381492124727176,0.245317482187143,0.22707816662074,0.127466134795978,0.216832657560131,0.221719219514755,0.20165334802976,0.216795916492803,0.316031789771112,0.208931578509975,0.121654047859614,-0.156428593298254,0.0391213636184703,0.164683086424613,0.216414509222445,0.016408385711224,-0.128855297055903,-0.0573571800356038,0.235099966320688,0.0712907924260914,0.220286317888963,0.187882446080297
"InhNeuron5",0.435504992848614,0.322262025045161,0.393333245854602,0.427010807997306,0.171233493856806,0.157107428256505,0.395464227759626,0.345757062814103,0.319796874384915,0.308492872670332,0.328452020102613,0.408120650666807,0.288783914410809,0.374019691462513,0.321689914139625,0.295649245277242,0.285113306827278,0.354585416420633,0.352088773416963,0.300157899110779,0.313260463549799,0.310618605851452,0.332418305799403,0.304628062302353,0.33552904949984,0.30752885704663,0.27107471995871,0.137809620036129,0.248025823721608,0.236718322857755,0.250968608257117,0.271790295984289,0.351325958876248,0.286733412938979,0.157653295542521,-0.152350334824846,0.0754792741014841,0.208104029707777,0.199496122505216,0.0734637641223477,-0.101357232522843,-0.0241065141037585,0.258157610430964,0.0502399104217787,0.238522134306097,0.233135194005957
"Microglia1",0.170972807236241,0.187112633241043,0.222499529801817,0.0922909367659988,0.246321738027442,0.415404129870925,-0.384669352263731,0.195304141680554,0.317134021790952,0.26789574284752,0.295642246978703,0.255339045694515,0.269435368526027,0.250959860383944,0.263212131550517,0.297897448682789,0.328158091563988,0.247716149011272,0.145248811382733,0.242003787829084,0.288745423768846,0.291870164066361,0.263957450344885,0.165997016975248,0.207852090960385,0.253587721485214,0.368494534766235,0.357606931814703,0.379639325189063,0.302211899731878,0.425425693378297,0.278874323680055,0.314787842205864,0.341628066676289,0.219360792907224,-0.00111360425496551,0.284081057792824,0.185245837105854,0.213459477664493,0.200442642382571,0.224294593376985,0.2434681817983,0.356044561665945,0.452209931460414,0.321964597357267,0.40508163952639
"Microglia2",0.111058623872071,0.0244476811575186,0.111231831760903,0.0683969959803523,-0.031410988203493,0.0763540614188176,-0.024771352464932,-0.0531739470841152,-0.018640842945059,0.0136458073630848,0.071129831559702,0.108035358903367,-0.0488927379530852,0.0484990836602851,-0.0162561727180079,0.00622061261355833,0.000569486543584091,0.0603804450043083,0.0579380388143133,0.0126083096047273,0.0162579222926426,-0.0130911922038954,0.0641665245137276,-0.0229133042029157,0.00525309784058751,0.000221321191285369,0.0278750978668311,0.0756384853932388,0.15204066011451,0.0458537268126687,0.0559015339395609,0.0124910881042047,0.0563354284489583,0.0222834573344356,0.00955180271796419,-0.0297541410244634,0.144118586168738,0.00444304478473671,0.0673874914161494,0.0548552883080301,0.0285311883548312,0.146319551059149,0.0410493948658732,0.0828887226792986,0.0193529198213684,0.0802766077497408
"Microglia3",0.333721738902229,0.223008656020505,0.285085313633123,0.284584935287608,0.1679023037524,0.231473098103024,0.305520345366033,0.33897046280623,0.325290538737769,0.26266976341377,0.354107782545369,0.415498606901197,0.31971989310099,0.367962664077296,0.294258333442682,0.293329309311674,0.321367992406846,0.35330997651196,0.36392289624585,0.330868182673088,0.275021760334519,0.306283159906748,0.356767135990062,0.270639075874678,0.345977509218071,0.293336307610212,0.328997887388629,0.157693535759119,0.360072082474948,0.24559741412869,0.284291006748984,0.223421555634286,0.32665170780354,0.234835780550854,0.104345505998854,-0.293719464455204,-0.0310663220004636,0.16023566770329,0.0514366194718909,0.0169017657582,-0.0635261801974395,-0.106004102752518,0.221243335214126,0.147017631338381,0.297379574590928,0.275268450358007
"Microglia4",-0.020799818044238,0.0949030516955565,0.106016349774961,-0.0398299413455104,0.0760041464918842,0.135416201935904,-0.484134419819181,0.00176444601906162,0.105355010563057,0.0886920617424889,0.0778377007090151,0.00992796126441759,0.012295135745122,0.0558472971258863,0.0585241463169267,0.10636101597799,0.089836283553561,0.0807332467293889,-0.0861079400070858,0.0760653816040975,0.12892528004129,0.0795452855524501,0.0783363294798952,0.0305117068412742,0.0494071128956772,0.076982158712663,0.0846243007168882,0.21554672020365,0.106145818297926,0.115887449863752,0.195242906568341,0.0821066628176025,0.0751136130028387,0.149402301565432,0.1312119740888,0.288425251610702,0.435461253482747,0.121480839970782,0.217789674885293,0.274409409212385,0.280308974880482,0.44053851907255,0.118273869665438,0.229497828340485,0.081321103806637,0.202368924055339
"Microglia5",0.212731654616471,0.262363587852703,0.256430780266548,0.163815297405818,0.315043280102525,0.465860112760085,-0.390101781504372,0.342760041464919,0.455138719398846,0.329809690019114,0.357913107375769,0.320827373844734,0.386760093952158,0.348591373722264,0.34485253272798,0.406495295831201,0.454466882739134,0.292522755405092,0.240798330905798,0.34900602291068,0.391868851885385,0.392801375165663,0.329956654288426,0.277444921203532,0.324506729301439,0.37146181334663,0.38465010694275,0.402210587550902,0.403473780437131,0.368403556885232,0.526104965730207,0.339927480131393,0.386742598205811,0.36773172022552,0.258213596819273,-0.0308073849545329,0.289980623460921,0.297283347986021,0.18014232789653,0.211946095605506,0.222497780227182,0.208739125300161,0.417694323067704,0.469506226298731,0.416448625927821,0.459185485528831
