gene,panel,category,headline,source,MatrisomeDivision,MatrisomeCategory
ADAMTS13,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAMTS3,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAMTS4,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAMTS6,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAMTS8,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ADAMTSL5,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
AGT,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ASTL,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
BMP1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
C17orf58,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CELA2A,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CELA3A,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CST3,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CST4,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CST6,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CST8,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CST9L,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CSTB,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CTSA,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CTSB,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CTSD,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CTSE,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CTSF,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
CTSZ,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
