"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","weight","p_adj"
"AD_overall_vs_Control",0.647472922907706,0.256807825990222,Inf,0.144138833018841,1.15080701279657,2.52123517035013,0.0116943666364175,"Microglia5","Capillaries",0.433333333333333,0.0168106520398501
"Disease_effect",0.61324026356948,0.327097453878472,Inf,-0.0278589654670773,1.25433949260604,1.87479375427153,0.0608211027683792,"Oligodendrocytes1","Capillaries",0.433333333333333,0.0932590242448481
"Amyloid_effect",-0.199143337157449,0.301970339142486,Inf,-0.790994326276068,0.392707651961169,-0.659479794349876,0.509587716969395,"Oligodendrocytes1","Capillaries",0.433333333333333,0.669743856588347
"AD_overall_vs_Control",0.526944817467918,0.301909253750394,Inf,-0.0647864464822188,1.11867608141806,1.74537484665367,0.0809196411407925,"Oligodendrocytes1","Capillaries",0.433333333333333,0.0865651974994524
"Disease_effect",0.20122516934802,0.36982852312408,Inf,-0.523625416430815,0.926075755126856,0.544103974588537,0.586369925538889,"Oligodendrocytes2","Capillaries",0.433333333333333,0.586369925538889
"Amyloid_effect",-0.386368950455316,0.364000482989855,Inf,-1.09979678747062,0.327058886559984,-1.06145175215629,0.288484648416275,"Oligodendrocytes2","Capillaries",0.433333333333333,0.50464399821075
"AD_overall_vs_Control",0.0337986241507168,0.336266133557363,Inf,-0.62527088684225,0.692868135143684,0.100511531723878,0.919938228208504,"Oligodendrocytes2","Capillaries",0.433333333333333,0.919938228208504
"Disease_effect",0.583922142612471,0.24629504279081,Inf,0.101192729171732,1.06665155605321,2.37082377296738,0.0177484912647337,"Oligodendrocytes3","Capillaries",0.433333333333333,0.0448568021594992
"Amyloid_effect",0.439603724152638,0.190735951176601,Inf,0.0657681292895089,0.813439319015767,2.30477642752105,0.0211790979492796,"Oligodendrocytes3","Capillaries",0.433333333333333,0.0811865421389052
"AD_overall_vs_Control",0.774417089745281,0.22669967538062,Inf,0.330093890692344,1.21874028879822,3.41604851636891,0.000635369258794355,"Oligodendrocytes3","Capillaries",0.433333333333333,0.0024355821587117
"Disease_effect",0.536378193302299,0.312454606075564,Inf,-0.0760215814094555,1.14877796801405,1.7166595814964,0.0860413892299177,"Oligodendrocytes4","Capillaries",0.433333333333333,0.116196438735135
"Amyloid_effect",0.0997871957131334,0.275935498691061,Inf,-0.441036443777445,0.640610835203712,0.361632324171729,0.71762680605732,"Oligodendrocytes4","Capillaries",0.433333333333333,0.856015246633021
"AD_overall_vs_Control",0.579619311444657,0.287445335554673,Inf,0.016236806233468,1.14300181665585,2.01645057251038,0.0437528817955651,"Oligodendrocytes4","Capillaries",0.433333333333333,0.05662298460662
"Disease_effect",0.536481992681492,0.290016459599344,Inf,-0.0319398230570385,1.10490380842002,1.8498329143892,0.0643376353205658,"Oligodendrocytes5","Capillaries",0.433333333333333,0.0954687491853557
"Amyloid_effect",0.487229921236118,0.234803478025374,Inf,0.0270235608616429,0.947436281610593,2.07505410624056,0.0379815204929718,"Oligodendrocytes5","Capillaries",0.433333333333333,0.124796424476907
"AD_overall_vs_Control",0.747614958550476,0.265617252972926,Inf,0.227014709051078,1.26821520804988,2.81463252173111,0.00488330388480754,"Oligodendrocytes5","Capillaries",0.433333333333333,0.00901072784494461
"Disease_effect",0.552195881346157,0.326650532597391,Inf,-0.0880273980755557,1.19241916076787,1.69047904791498,0.0909363433579321,"Oligodendrocytes6","Capillaries",0.433333333333333,0.116196438735135
"Amyloid_effect",0.0482830384431397,0.294175179792586,Inf,-0.528289719095924,0.624855795982203,0.164130224980852,0.869628628358558,"Oligodendrocytes6","Capillaries",0.433333333333333,0.930300393127759
"AD_overall_vs_Control",0.573118531338184,0.30022820129668,Inf,-0.0153179303465505,1.16155499302292,1.90894302688054,0.0562694416794828,"Oligodendrocytes6","Capillaries",0.433333333333333,0.0680821948163233
"Disease_effect",0.547192933237849,0.331792784757602,Inf,-0.103108975217302,1.197494841693,1.64920082164418,0.0991064996958543,"Oligodendrocytes7","Capillaries",0.433333333333333,0.123213486108359
"Amyloid_effect",-0.0213339681351599,0.303456502443935,Inf,-0.616097783799764,0.573429847529444,-0.0703032163204392,0.943952322590176,"Oligodendrocytes7","Capillaries",0.433333333333333,0.943952322590176
"AD_overall_vs_Control",0.537948213712613,0.304840193948251,Inf,-0.0595275874661639,1.13542401489139,1.76468925158844,0.0776160060011163,"Oligodendrocytes7","Capillaries",0.433333333333333,0.0856525511300119
"Disease_effect",0.978128234833824,0.241657356268093,Inf,0.504488519949197,1.45176794971845,4.04758311494849,5.17492088295203e-05,"Oligodendrocytes8","Capillaries",0.433333333333333,0.00119023180307897
"Amyloid_effect",-0.0792436109734068,0.186147755262955,Inf,-0.444086507091774,0.285599285144961,-0.425702748128584,0.670324459318882,"Oligodendrocytes8","Capillaries",0.433333333333333,0.856015246633021
"AD_overall_vs_Control",0.943789336745348,0.228668459155957,Inf,0.495607392399404,1.39197128109129,4.12732626191207,3.6700551792653e-05,"Oligodendrocytes8","Capillaries",0.433333333333333,0.00042205634561551
"Disease_effect",0.539693829874278,0.260573869896177,Inf,0.028978429565546,1.05040923018301,2.07117402097652,0.0383425364513258,"OPC1","Capillaries",0.433333333333333,0.0701539610895629
"Amyloid_effect",0.0521117256135119,0.223021397936688,Inf,-0.385002182124171,0.489225633351195,0.233662447171574,0.815247043554259,"OPC1","Capillaries",0.433333333333333,0.914667414719413
"AD_overall_vs_Control",0.562275577640134,0.241242106451566,Inf,0.0894497374404864,1.03510141783978,2.33075223024145,0.0197664283400989,"OPC1","Capillaries",0.433333333333333,0.026742814813075
"Disease_effect",0.666947367317825,0.24111257609726,Inf,0.194375401947523,1.13951933268813,2.76612434785978,0.00567268994943909,"OPC2","Capillaries",0.433333333333333,0.0186260925720162
"Amyloid_effect",0.15549085455659,0.192479479648704,Inf,-0.221761993317881,0.53274370243106,0.80783081313591,0.419187984342721,"OPC2","Capillaries",0.433333333333333,0.587106828416675
"AD_overall_vs_Control",0.73432673762568,0.224264575839432,Inf,0.294776245972242,1.17387722927912,3.27437685990783,0.0010589528132718,"OPC2","Capillaries",0.433333333333333,0.00286540173002958
"Disease_effect",0.553314052714367,0.244966585642817,Inf,0.0731883674386989,1.03343973799004,2.25873276252112,0.023900013203286,"OPC3","Capillaries",0.433333333333333,0.049972754879598
"Amyloid_effect",0.146655880414581,0.202890856994833,Inf,-0.251002892087758,0.544314652916921,0.722831391156852,0.469783478945975,"OPC3","Capillaries",0.433333333333333,0.635589412691613
"AD_overall_vs_Control",0.616864934227352,0.226639064135485,Inf,0.172660531031938,1.06106933742277,2.72179439400875,0.00649285248327074,"OPC3","Capillaries",0.433333333333333,0.0110618968233502
"Disease_effect",0.342819560365321,0.232660719669584,Inf,-0.113187070804233,0.798826191534875,1.47347416810272,0.140623224241948,"Pericytes","Capillaries",0.433333333333333,0.16171670787824
"Amyloid_effect",0.523497932604302,0.188116380189321,Inf,0.154796602531188,0.892199262677416,2.78284077164068,0.00538852443472307,"Pericytes","Capillaries",0.433333333333333,0.0309840154996576
"AD_overall_vs_Control",0.569668664493852,0.210919299513841,Inf,0.156274433802308,0.983062895185396,2.70088448902928,0.00691553519772169,"Pericytes","Capillaries",0.433333333333333,0.0113612363962571
"Disease_effect",0.503316278190622,0.213731702732526,Inf,0.0844098384804506,0.922222717900793,2.3548976205018,0.0185278095876192,"SMC","Capillaries",0.433333333333333,0.0448568021594992
"Amyloid_effect",0.64527273720693,0.159846031163868,Inf,0.331980273054081,0.958565201359779,4.03683927907738,5.41761561076004e-05,"SMC","Capillaries",0.433333333333333,0.00249210318094962
"AD_overall_vs_Control",0.782934464313625,0.195156574966816,Inf,0.400434606032474,1.16543432259478,4.01182724408211,6.02505850394176e-05,"SMC","Capillaries",0.433333333333333,0.000475096359711712
"Disease_effect",0.395798224598004,0.260260073096648,Inf,-0.114302145285187,0.905898594481195,1.52077965662841,0.128315141186136,"VLMC1","Capillaries",0.433333333333333,0.151346063963135
"Amyloid_effect",0.721819690854863,0.204049749762844,Inf,0.321889530265277,1.12174985144445,3.53746913041449,0.000403981406732108,"VLMC1","Capillaries",0.433333333333333,0.00511283741664829
"AD_overall_vs_Control",0.708586757301778,0.235708649550788,Inf,0.24660629333766,1.1705672212659,3.00619751821665,0.00264537100895467,"VLMC1","Capillaries",0.433333333333333,0.00638377636059444
"Disease_effect",0.475716271480065,0.250253489566637,Inf,-0.0147715550760141,0.966204098036145,1.90093761451183,0.0573101845047312,"VLMC2","Capillaries",0.433333333333333,0.0932590242448481
"Amyloid_effect",0.290279117712241,0.206312346240907,Inf,-0.114085650485894,0.694643885910376,1.40698859278779,0.159430771352734,"VLMC2","Capillaries",0.433333333333333,0.33335524919208
"AD_overall_vs_Control",0.60150388915537,0.229768082204606,Inf,0.151166723237504,1.05184105507324,2.6178740031426,0.00884794684688739,"VLMC2","Capillaries",0.433333333333333,0.0140346743088559
"Disease_effect",0.848753502724336,0.28445547250875,Inf,0.291231021401863,1.40627598404681,2.98378335012777,0.00284708285315782,"Astrocytes1","Parenchyma",0.533333333333333,0.00407520973064216
"Amyloid_effect",0.0464747793843681,0.1864807040325,Inf,-0.319020684331005,0.411970243099741,0.249220312769027,0.803190367728526,"Astrocytes1","Parenchyma",0.533333333333333,0.869944314300016
"AD_overall_vs_Control",0.873540051729333,0.267234887597656,Inf,0.349769296625317,1.39731080683335,3.26880992067367,0.00108000827927665,"Astrocytes1","Parenchyma",0.533333333333333,0.00160259293053954
"Disease_effect",0.66333277850175,0.286214734821089,Inf,0.102362206407734,1.22430335059577,2.31760527254614,0.0204707833963657,"Astrocytes2","Parenchyma",0.533333333333333,0.0241450265700723
"Amyloid_effect",0.320770498863123,0.193550747475287,Inf,-0.0585819953692457,0.700122993095491,1.65729403294648,0.0974600431196166,"Astrocytes2","Parenchyma",0.533333333333333,0.280197623968898
"AD_overall_vs_Control",0.834410377895415,0.265822874859517,Inf,0.313407116903864,1.35541363888697,3.13897131063829,0.00169542045968221,"Astrocytes2","Parenchyma",0.533333333333333,0.00236331336804187
"Disease_effect",1.03320755761028,0.216443670921122,Inf,0.608985757923238,1.45742935729731,4.77356327035687,1.80994651959325e-06,"Astrocytes3","Parenchyma",0.533333333333333,1.04071924876612e-05
"Amyloid_effect",-0.454391163664309,0.133660290768009,Inf,-0.716360519732759,-0.19242180759586,-3.39959730039032,0.000674851639399337,"Astrocytes3","Parenchyma",0.533333333333333,0.00692476691928228
