"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","p_adj"
"AD_Amyloid_vs_Control",1.05851056975904,0.251476567745211,Inf,0.565625554022679,1.5513955854954,4.20918171124195,2.56297209708139e-05,"ExNeuron10","Capillaries",0.000130996351628605
"AD_Amyloid_vs_Control",0.895945392035611,0.267114717856315,Inf,0.372410165296655,1.41948061877457,3.354159588157,0.000796064359600215,"ExNeuron11","Capillaries",0.00130782001934321
"AD_Amyloid_vs_Control",1.04863418605836,0.217978490649379,Inf,0.621404194981174,1.47586417713554,4.81072321830643,1.50385148377782e-06,"ExNeuron12","Capillaries",1.72942920634449e-05
"AD_Amyloid_vs_Control",1.05420815653261,0.221982894340337,Inf,0.619129678441587,1.48928663462363,4.7490513161628,2.04373084174968e-06,"ExNeuron13","Capillaries",1.8802323744097e-05
"AD_Amyloid_vs_Control",0.914475210086004,0.206188919779639,Inf,0.510352353306694,1.31859806686531,4.43513264953003,9.20156127529168e-06,"ExNeuron14","Capillaries",6.04674026662025e-05
"AD_Amyloid_vs_Control",0.987750380740162,0.255496421343038,Inf,0.486986596728938,1.48851416475139,3.86600475868888,0.000110632779892371,"ExNeuron2","Capillaries",0.000258782837893675
"AD_Amyloid_vs_Control",0.199059617086864,0.370181416988295,Inf,-0.526482627956198,0.924601862129926,0.537735304776679,0.590759801845753,"ExNeuron3","Capillaries",0.603887797442325
"AD_Amyloid_vs_Control",0.395097370229242,0.355208108443541,Inf,-0.301097729336697,1.09129246979518,1.11229828609625,0.266009920551077,"ExNeuron4","Capillaries",0.284568752217431
"AD_Amyloid_vs_Control",0.942656280539592,0.266130693876643,Inf,0.421049705360718,1.46426285571847,3.54208027194538,0.000396984647180936,"ExNeuron5","Capillaries",0.000730451750812923
"AD_Amyloid_vs_Control",0.570230825217824,0.302073526537004,Inf,-0.0218224074777073,1.16228405791336,1.88772194556404,0.0590632886141784,"ExNeuron6","Capillaries",0.067451041986236
"AD_Amyloid_vs_Control",1.08464870900564,0.280950970837276,Inf,0.533994924743015,1.63530249326826,3.86063342572985,0.000113093464392051,"ExNeuron7","Capillaries",0.000258782837893675
"AD_Amyloid_vs_Control",0.997433168592585,0.236405828413493,Inf,0.534086259166783,1.46078007801839,4.21915641964627,2.45218106180955e-05,"ExNeuron8","Capillaries",0.000130996351628605
"AD_Amyloid_vs_Control",0.980460561128655,0.239881001821693,Inf,0.510302436982749,1.45061868527456,4.08727891614128,4.36462272881707e-05,"ExNeuron9","Capillaries",0.000167310537937988
"AD_Amyloid_vs_Control",-0.932686317034062,0.322772864870825,Inf,-1.56530950736769,-0.300063126700432,-2.88960572137106,0.00385725280564628,"Fibroblast","Capillaries",0.00521863614881555
"AD_Amyloid_vs_Control",0.939978035815546,0.235657459957542,Inf,0.478097901610574,1.40185817002052,3.9887472095511,6.64231586347657e-05,"InhNeuron1","Capillaries",0.000190966581074952
"AD_Amyloid_vs_Control",0.882099835748825,0.22613103991026,Inf,0.438891141738126,1.32530852975952,3.90083482612067,9.58615418895918e-05,"InhNeuron2","Capillaries",0.000244979495940068
"AD_Amyloid_vs_Control",1.0542454445459,0.260633894404718,Inf,0.543412398362238,1.56507849072956,4.04492841176231,5.23391151362742e-05,"InhNeuron3","Capillaries",0.000173988951517392
"AD_Amyloid_vs_Control",0.863277153148522,0.225209579541892,Inf,0.421874488273005,1.30467981802404,3.83321684141744,0.000126478370347752,"InhNeuron4","Capillaries",0.000258782837893675
"AD_Amyloid_vs_Control",0.98917742615455,0.215348057592124,Inf,0.567102989133329,1.41125186317577,4.59338912649067,4.36104769422374e-06,"InhNeuron5","Capillaries",3.34346989890487e-05
"AD_Amyloid_vs_Control",0.902632168559388,0.304871326393911,Inf,0.305095348908366,1.50016898821041,2.96069879458961,0.00306941961393792,"Microglia1","Capillaries",0.00427858491639831
"AD_Amyloid_vs_Control",0.595312618574247,0.22213965723883,Inf,0.159926890848067,1.03069834630043,2.67990248105139,0.00736436111804218,"Microglia2","Capillaries",0.00941001698416501
"AD_Amyloid_vs_Control",0.911836822430518,0.222385918663921,Inf,0.47596843118038,1.34770521368066,4.1002453208763,4.12712403473292e-05,"Microglia3","Capillaries",0.000167310537937988
"AD_Amyloid_vs_Control",0.869887139347925,0.255737545458647,Inf,0.368650760754302,1.37112351794155,3.40148388375217,0.00067021080219542,"Microglia4","Capillaries",0.00114184062596257
"AD_Amyloid_vs_Control",0.691054926245589,0.367598660122027,Inf,-0.0294252083587647,1.41153506084994,1.87991688004572,0.0601194069877321,"Microglia5","Capillaries",0.067451041986236
"AD_Amyloid_vs_Control",0.585452959099405,0.294793701506323,Inf,0.00766792127776028,1.16323799692105,1.98597512805696,0.0470360856929663,"Oligodendrocytes1","Capillaries",0.0554784600481141
"AD_Amyloid_vs_Control",-0.170041371201863,0.407067602212389,Inf,-0.967879210811223,0.627796468407497,-0.417722683597756,0.676149885474197,"Oligodendrocytes2","Capillaries",0.676149885474197
"AD_Amyloid_vs_Control",0.991744219380237,0.259060299865121,Inf,0.483995361820454,1.49949307694002,3.82823697763257,0.000129064458237603,"Oligodendrocytes3","Capillaries",0.000258782837893675
"AD_Amyloid_vs_Control",0.922407077442093,0.228194599671813,Inf,0.475153880618803,1.36966027426538,4.04219503339994,5.2953159157467e-05,"Oligodendrocytes4","Capillaries",0.000173988951517392
"AD_Amyloid_vs_Control",1.11394301760082,0.269628476994519,Inf,0.58548091348518,1.64240512171647,4.13139973202262,3.60560960402099e-05,"Oligodendrocytes5","Capillaries",0.000165858041784965
"AD_Amyloid_vs_Control",0.770191866600629,0.305196478950503,Inf,0.172017759649206,1.36836597355205,2.52359355274718,0.0116162147634827,"Oligodendrocytes6","Capillaries",0.014061733661058
"AD_Amyloid_vs_Control",0.606435241720083,0.33431727805079,Inf,-0.0488145826689275,1.26168506610909,1.81395124193358,0.0696852326872868,"Oligodendrocytes7","Capillaries",0.0763219215146475
"AD_Amyloid_vs_Control",0.943618484362493,0.234570088073529,Inf,0.483869559887988,1.403367408837,4.02275708770977,5.75208130085703e-05,"Oligodendrocytes8","Capillaries",0.000176397159892949
"AD_Amyloid_vs_Control",0.643706352473853,0.243280885871218,Inf,0.166884578039267,1.12052812690844,2.64593887090087,0.00814645364303468,"OPC1","Capillaries",0.0101280234480972
"AD_Amyloid_vs_Control",0.857303566567152,0.231106793587714,Inf,0.404342574552699,1.3102645585816,3.70955588651603,0.000207623125098715,"OPC2","Capillaries",0.000397944323105871
"AD_Amyloid_vs_Control",0.720514079224304,0.241749793040718,Inf,0.246693191594485,1.19433496685412,2.98041239316779,0.00287860563362238,"OPC3","Capillaries",0.00413799559833217
"AD_Amyloid_vs_Control",0.811596180789352,0.256313722713748,Inf,0.309230515527021,1.31396184605168,3.16641720231166,0.00154329273950345,"Pericytes","Capillaries",0.00229004729087609
"AD_Amyloid_vs_Control",1.11654818866468,0.22371561115716,Inf,0.678073648017282,1.55502272931208,4.99092657365028,6.0090338767532e-07,"SMC","Capillaries",9.2138519443549e-06
"AD_Amyloid_vs_Control",1.06364904520319,0.271565910554904,Inf,0.531389641086749,1.59590844931962,3.9167251995281,8.97599663070192e-05,"VLMC1","Capillaries",0.000242879908830758
"AD_Amyloid_vs_Control",0.833182101248945,0.217676621497269,Inf,0.406543762837941,1.25982043965995,3.82761407962866,0.000129391418946838,"VLMC2","Capillaries",0.000258782837893675
"AD_Amyloid_vs_Control",0.927618203176625,0.266077168346808,Inf,0.406116536108481,1.44911987024477,3.48627508681074,0.000489797056782888,"Astrocytes1","Parenchyma",0.000901226584480514
"AD_Amyloid_vs_Control",1.02153387213257,0.261872751781594,Inf,0.508272710108245,1.53479503415689,3.90087882447786,9.58441191846311e-05,"Astrocytes2","Parenchyma",0.000339140729422541
"AD_Amyloid_vs_Control",0.682483746112659,0.193243952960267,Inf,0.303732558080384,1.06123493414494,3.53172109997659,0.000412864552062206,"Astrocytes3","Parenchyma",0.000791323724785896
"AD_Amyloid_vs_Control",0.924232762762477,0.213191494445357,Inf,0.506385111839306,1.34208041368565,4.33522343453231,1.45612143330977e-05,"Astrocytes4","Parenchyma",7.44239843691658e-05
"AD_Amyloid_vs_Control",0.560188059977083,0.253762771741807,Inf,0.062822166746083,1.05755395320808,2.20752656558721,0.0272772931406569,"Astrocytes5","Parenchyma",0.0313688871117554
"AD_Amyloid_vs_Control",0.6898885412755,0.268517436653869,Inf,0.163604036212901,1.2161730463381,2.569250436294,0.0101918772697022,"Endothelial","Parenchyma",0.0137890104237148
