"celltype","region","contrast","type","log2_OR","odds.ratio","SE","p.value","p_adj","estimate"
"OPC1","Capillaries","Amyloid_effect","Amyloid",0.0735590327463335,1.05230946168035,0.242831357989833,0.825128920072464,0.903712626746032,NA
"OPC2","Capillaries","Amyloid_effect","Amyloid",0.219866426634983,1.16462575343503,0.235224092324223,0.450518049718953,0.668510654421672,NA
"OPC3","Capillaries","Amyloid_effect","Amyloid",0.208031774393744,1.15511122482589,0.24281624714268,0.492735937794918,0.669233012098456,NA
"Pericytes","Capillaries","Amyloid_effect","Amyloid",0.744382151307759,1.67525667013336,0.327570376316135,0.00832124665385388,0.0478471682596598,NA
"SMC","Capillaries","Amyloid_effect","Amyloid",0.949598739621779,1.93133541599368,0.281501708163913,6.30547749872331e-06,0.000290051964941272,NA
"VLMC1","Capillaries","Amyloid_effect","Amyloid",1.05184757404757,2.07318315116476,0.414938452430694,0.000269715364599552,0.00413563559052647,NA
"VLMC2","Capillaries","Amyloid_effect","Amyloid",0.404671328198253,1.32378729355527,0.291675287295286,0.202999250903036,0.389081897564153,NA
"Astrocytes1","Parenchyma","Amyloid_effect","Amyloid",0.058237921992911,1.04119329187485,0.202280849016412,0.835399186764273,0.893682850957129,NA
"Astrocytes2","Parenchyma","Amyloid_effect","Amyloid",0.435923859001195,1.35277683377332,0.270205097619469,0.130341794491313,0.333095697033355,NA
"Astrocytes3","Parenchyma","Amyloid_effect","Amyloid",-0.655129866058919,0.635018326701066,0.0887426254331091,0.00115637568620862,0.0106386563131193,NA
"Astrocytes4","Parenchyma","Amyloid_effect","Amyloid",0.206692893934321,1.1540397312727,0.180274040588517,0.359066029917001,0.61924719576674,NA
"Astrocytes5","Parenchyma","Amyloid_effect","Amyloid",-0.649518331058492,0.63749311634682,0.135414858894918,0.0340512700348412,0.1423962201457,NA
"Endothelial","Parenchyma","Amyloid_effect","Amyloid",0.177933079681792,1.131261987329,0.175776438787807,0.427339973695728,0.640043108495649,NA
