"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value","celltype","region","p_adj"
"Disease_effect",1.89793738404477,0.365780557269683,Inf,1.30086972045565,2.76904462999797,1,3.32477209495139,0.000884908386605785,"Microglia3","Capillaries",0.0101764464459665
"Disease_effect",1.83097565480406,0.658210397020589,Inf,0.905080900770202,3.70405766559903,1,1.68253759431822,0.0924646413096491,"Microglia4","Capillaries",0.146668051732547
"Disease_effect",1.40831503060944,0.404738317817226,Inf,0.80180986358215,2.47359294955502,1,1.19138357209973,0.233503039085843,"Microglia5","Capillaries",0.290301075620237
"Disease_effect",1.76784084967895,0.593849673940261,Inf,0.915185627910411,3.4148933008589,1,1.696124757039,0.0898622560658431,"Oligodendrocytes1","Capillaries",0.146668051732547
"Disease_effect",1.20423398888532,0.457636071738436,Inf,0.571788082624596,2.53621847683514,1,0.489033271144846,0.624818142033185,"Oligodendrocytes2","Capillaries",0.624818142033185
"Disease_effect",1.80675547180098,0.430903395615194,Inf,1.13211743311862,2.8834158360149,1,2.48026568527531,0.0131284518909603,"Oligodendrocytes3","Capillaries",0.040260585798945
"Disease_effect",1.62196921883044,0.528865786815486,Inf,0.856044655037863,3.07318564674302,1,1.4832700454331,0.138002677539145,"Oligodendrocytes4","Capillaries",0.186709504905902
"Disease_effect",1.71989396891595,0.535774850544259,Inf,0.933982190460484,3.16712170159803,1,1.74072046909998,0.0817325885201616,"Oligodendrocytes5","Capillaries",0.13924811377509
"Disease_effect",1.70954752378028,0.816451058903968,Inf,0.670442721303662,4.35913858588913,1,1.12279662906906,0.261523877364416,"Oligodendrocytes6","Capillaries",0.302887875425601
"Disease_effect",1.73296355096899,0.576342217945072,Inf,0.903025801166539,3.32566651485208,1,1.65325475149959,0.0982790277103015,"Oligodendrocytes7","Capillaries",0.148352965638169
"Disease_effect",2.67928438689075,0.644149554280654,Inf,1.67253112470422,4.29203661432972,1,4.09930894276416,4.14385585825901e-05,"Oligodendrocytes8","Capillaries",0.000953086847399572
"Disease_effect",1.68213767570426,0.45569845874997,Inf,0.989161750461976,2.8605909586599,1,1.91973794111525,0.0548910092123542,"OPC1","Capillaries",0.109782018424708
"Disease_effect",1.99346344162177,0.50018572451987,Inf,1.21907609273682,3.25976082769461,1,2.74945411598081,0.00596946198614849,"OPC2","Capillaries",0.027459525136283
"Disease_effect",1.73742192445767,0.427612403925464,Inf,1.07252764418366,2.81450549079674,1,2.2444530744376,0.0248032649294319,"OPC3","Capillaries",0.0580204815241867
"Disease_effect",1.44482342655537,0.273090474552293,Inf,0.99753141019505,2.09268070417454,1,1.94688741723923,0.0515482334915467,"Pericytes","Capillaries",0.109782018424708
"Disease_effect",1.65296799585904,0.354945998194168,Inf,1.08513503357018,2.51793842315159,1,2.34045796238469,0.01926010651601,"SMC","Capillaries",0.0521155823374388
"Disease_effect",1.36010082247667,0.36892051952025,Inf,0.799257937937367,2.31448967785751,1,1.13387842938079,0.256845546440186,"VLMC1","Capillaries",0.302887875425601
"Disease_effect",1.64492161502864,0.447465702256358,Inf,0.965148310168378,2.80347288710105,1,1.82956040974722,0.0673156983240809,"VLMC2","Capillaries",0.11909700472722
"Disease_effect",2.38693959329716,0.684261799121245,Inf,1.36090640258135,4.18653377722576,1,3.03490007593785,0.00240615391613141,"Astrocytes1","Parenchyma",0.00381665793593257
"Disease_effect",1.92253400614871,0.560346492717056,Inf,1.08587724864788,3.40382580940948,1,2.24263566767935,0.0249203182351996,"Astrocytes2","Parenchyma",0.0293931958671585
"Disease_effect",2.72093235742727,0.642296696821105,Inf,1.71310969274454,4.32165723248799,1,4.24038328655254,2.23138435941801e-05,"Astrocytes3","Parenchyma",7.31262125839772e-05
"Disease_effect",1.90479020622665,0.469712295741016,Inf,1.17474838574522,3.08851305842427,1,2.61307452868087,0.00897317322686028,"Astrocytes4","Parenchyma",0.0121401755422227
"Disease_effect",2.34625751234042,0.712607013853287,Inf,1.29374335803968,4.25503580753071,1,2.80791353076139,0.00498636136445797,"Astrocytes5","Parenchyma",0.00709398096656149
"Disease_effect",1.84381107540725,0.340324570820844,Inf,1.28411655268949,2.64745382704875,1,3.31479896129844,0.000917090548552005,"Endothelial","Parenchyma",0.00162254481666893
"Disease_effect",1.91605704546096,0.51720413462166,Inf,1.12886584551637,3.25217971297665,1,2.40901663800328,0.015995568745687,"ExNeuron1","Parenchyma",0.0204387822861556
"Disease_effect",2.36127914733698,0.484873869850706,Inf,1.57891383863227,3.53131315669405,1,4.18422067208381,2.8614604924165e-05,"ExNeuron10","Parenchyma",7.31262125839772e-05
"Disease_effect",2.08552565775254,0.311576376245232,Inf,1.55613223422135,2.79501778415411,1,4.9198371283009,8.6616257851012e-07,"ExNeuron11","Parenchyma",5.08983105469903e-06
"Disease_effect",1.89100350143432,0.430070886809661,Inf,1.21088690840888,2.95311991368017,1,2.80133535528707,0.0050891602586202,"ExNeuron12","Parenchyma",0.00709398096656149
"Disease_effect",2.29047542634686,0.450517428497477,Inf,1.55776300897439,3.36782787142499,1,4.21349526835439,2.51448857307935e-05,"ExNeuron13","Parenchyma",7.31262125839772e-05
"Disease_effect",2.09301296062703,0.488066215093314,Inf,1.32520066123651,3.30569051275993,1,3.16741669004975,0.00153799770001346,"ExNeuron14","Parenchyma",0.0026202923778007
"Disease_effect",2.26576671469658,0.473327604533405,Inf,1.50451261085713,3.41220058135784,1,3.91525975301673,9.03069297305921e-05,"ExNeuron2","Parenchyma",0.000207705938380362
"Disease_effect",1.41157055528695,0.418537574041916,Inf,0.789436440400277,2.52399221847781,1,1.16255402060232,0.245010495035695,"ExNeuron3","Parenchyma",0.250455172703155
"Disease_effect",1.41013014958856,0.411587635966976,Inf,0.795813289414847,2.49866025766013,1,1.17748035774971,0.239003832912625,"ExNeuron4","Parenchyma",0.249867643499562
"Disease_effect",2.32743441604502,0.38890833429233,Inf,1.67742786300446,3.22931977014406,1,5.05553255894009,4.29191395342147e-07,"ExNeuron5","Parenchyma",3.94856083714776e-06
"Disease_effect",1.82846796208242,0.488125124900001,Inf,1.08355719392776,3.08548095762516,1,2.26056994740605,0.023785900472424,"ExNeuron6","Parenchyma",0.0287934584666185
"Disease_effect",1.67435795325444,0.46650069288399,Inf,0.969819852829023,2.89071681451817,1,1.84997356951765,0.0643173591031406,"ExNeuron7","Parenchyma",0.0688046167149876
"Disease_effect",1.69480496765238,0.409973620477713,Inf,1.05490639457303,2.72286137723317,1,2.18093132026078,0.0291884967160687,"ExNeuron8","Parenchyma",0.032748069486321
"Disease_effect",1.68586070808548,0.464072576051088,Inf,0.982898251652758,2.89157735532381,1,1.89730019864033,0.0577883287985263,"ExNeuron9","Parenchyma",0.0632919791602908
"Disease_effect",0.391236242397236,0.0575862339248932,Inf,0.293190808455346,0.522068881256969,1,-6.37571103779937,1.82116018395635e-10,"Fibroblast","Parenchyma",4.18866842309962e-09
"Disease_effect",2.05673898149836,0.356408199477435,Inf,1.46445543509663,2.8885653579044,1,4.16140575091304,3.16294533604737e-05,"InhNeuron1","Parenchyma",7.65765712937783e-05
"Disease_effect",2.0830818018294,0.401824266233369,Inf,1.42728417835425,3.0402003041302,1,3.80431557736365,0.000142196805669309,"InhNeuron2","Parenchyma",0.000311478717180391
"Disease_effect",1.98418438314837,0.468732934983197,Inf,1.24881699594706,3.15257373907232,1,2.90054056690205,0.00372519615870126,"InhNeuron3","Parenchyma",0.00552771042904058
"Disease_effect",1.93718687604007,0.4309215131752,Inf,1.25263413613832,2.99584123124001,1,2.97255839362454,0.00295329026822257,"InhNeuron4","Parenchyma",0.0045283784112746
"Disease_effect",2.1971195097925,0.346868266609699,Inf,1.61239336518789,2.99389357742011,1,4.98591716777186,6.16685625497968e-07,"InhNeuron5","Parenchyma",4.72792312881776e-06
"Disease_effect",3.11023601491937,0.799239352843423,Inf,1.87957446785817,5.14667986500416,1,4.41567407518747,1.00695708361731e-05,"Microglia1","Parenchyma",4.551360844493e-05
"Disease_effect",1.56942146178564,0.321297317776532,Inf,1.05069992769144,2.34423136406336,1,2.20154133623145,0.0276977237210279,"Microglia2","Parenchyma",0.0318523822791821
"Disease_effect",1.73116785500582,0.283331330761884,Inf,1.25610922396094,2.38589295026039,1,3.35317103689668,0.000798913205737847,"Microglia3","Parenchyma",0.00147000029855764
"Disease_effect",3.65829817623802,0.788389775391671,Inf,2.39794378523472,5.58109227942409,1,6.01835004204168,1.76203840276738e-09,"Microglia4","Parenchyma",2.02634416318249e-08
"Disease_effect",2.62100426253615,0.725603618132026,Inf,1.52341958226604,4.50937051367967,1,3.48053452921252,0.00050041431737202,"Microglia5","Parenchyma",0.00100082863474404
"Disease_effect",2.70350345849717,0.76406728339094,Inf,1.5536720821313,4.70429444807936,1,3.5190164432609,0.000433149860304226,"Oligodendrocytes1","Parenchyma",0.000905676980636109
"Disease_effect",0.75080753927576,0.236534771534695,Inf,0.404916689688332,1.3921677604033,1,-0.909743179190225,0.362957966763114,"Oligodendrocytes2","Parenchyma",0.362957966763114
"Disease_effect",2.41963330755545,0.484048710819772,Inf,1.63480632709801,3.58123482028874,1,4.41696602816256,1.00095954588215e-05,"Oligodendrocytes3","Parenchyma",4.551360844493e-05
"Disease_effect",2.781212939755,0.661411652155751,Inf,1.74504452451512,4.43263498873184,1,4.30120477231305,1.69871987849265e-05,"Oligodendrocytes4","Parenchyma",6.51175953422183e-05
"Disease_effect",1.99965963084296,0.543796768951841,Inf,1.17348180559139,3.40749947734197,1,2.54822789344018,0.010827171561916,"Oligodendrocytes5","Parenchyma",0.0142299969099467
"Disease_effect",2.92081048005128,0.746143119293712,Inf,1.77034336923262,4.81891479847514,1,4.19584818012647,2.71852308776791e-05,"Oligodendrocytes6","Parenchyma",7.31262125839772e-05
"Disease_effect",2.01675886443304,0.61345081509887,Inf,1.11106226977348,3.66074560168304,1,2.30619891594347,0.021099520135233,"Oligodendrocytes7","Parenchyma",0.0262318358438032
