"region","celltype_1","celltype_2","r","p.value","p_adj","n"
"Parenchyma","ExNeuron10","OPC3",0.354348904870604,0.645651095129396,0.928101469378433,4
"Parenchyma","ExNeuron10","Pericytes",0.552850848811717,0.447149151188283,0.856576141536058,4
"Parenchyma","ExNeuron10","SMC",0.677892713843877,0.322107286156123,0.830177098692426,4
"Parenchyma","ExNeuron10","VLMC1",0.0430996652554736,0.956900334744526,0.992376599659905,4
"Parenchyma","ExNeuron10","VLMC2",0.181001381840334,0.818998618159666,0.961574292989214,4
"Parenchyma","ExNeuron11","ExNeuron12",0.158408215909969,0.841591784090031,0.963517602566528,4
"Parenchyma","ExNeuron11","ExNeuron13",0.772760570137292,0.227239429862708,0.826123724439241,4
"Parenchyma","ExNeuron11","ExNeuron14",-0.20828466117927,0.79171533882073,0.958842045713739,4
"Parenchyma","ExNeuron11","ExNeuron2",0.577245166973131,0.422754833026869,0.852432039073204,4
"Parenchyma","ExNeuron11","ExNeuron3",-0.880031144461349,0.119968855538651,0.752531912015172,4
"Parenchyma","ExNeuron11","ExNeuron4",-0.968305793396549,0.0316942066034508,0.711437672114937,4
"Parenchyma","ExNeuron11","ExNeuron5",0.945466683650979,0.0545333163490213,0.738468404773767,4
"Parenchyma","ExNeuron11","ExNeuron6",0.762775780529826,0.237224219470174,0.826123724439241,4
"Parenchyma","ExNeuron11","ExNeuron7",-0.755340236301863,0.244659763698136,0.826123724439241,4
"Parenchyma","ExNeuron11","ExNeuron8",-0.277148487827395,0.722851512172605,0.941070836602071,4
"Parenchyma","ExNeuron11","ExNeuron9",-0.593833085538169,0.406166914461831,0.852432039073204,4
"Parenchyma","ExNeuron11","Fibroblast",0.90352608712568,0.0964739128743205,0.743585953843347,4
"Parenchyma","ExNeuron11","InhNeuron1",0.862723594370854,0.137276405629146,0.780665273770141,4
"Parenchyma","ExNeuron11","InhNeuron2",0.923243673107853,0.0767563268921468,0.740378053100563,4
"Parenchyma","ExNeuron11","InhNeuron3",0.0956159936535394,0.904384006346461,0.977074578881615,4
"Parenchyma","ExNeuron11","InhNeuron4",0.586842971710632,0.413157028289368,0.852432039073204,4
"Parenchyma","ExNeuron11","InhNeuron5",0.981711402134473,0.0182885978655274,0.711437672114937,4
"Parenchyma","ExNeuron11","Microglia1",0.281123277709932,0.718876722290068,0.938724475201013,4
"Parenchyma","ExNeuron11","Microglia2",0.546174422105782,0.453825577894218,0.856576141536058,4
"Parenchyma","ExNeuron11","Microglia3",0.822235317792329,0.177764682207671,0.794426112542788,4
"Parenchyma","ExNeuron11","Microglia4",-0.470749421206031,0.529250578793969,0.884201124032072,4
"Parenchyma","ExNeuron11","Microglia5",-0.122348466670497,0.877651533329503,0.967434460935356,4
"Parenchyma","ExNeuron11","Oligodendrocytes1",-0.880776469312384,0.119223530687616,0.752416794278552,4
"Parenchyma","ExNeuron11","Oligodendrocytes2",0.953842060412542,0.046157939587458,0.720838068430803,4
"Parenchyma","ExNeuron11","Oligodendrocytes3",-0.0350308927632697,0.96496910723673,0.99333668360057,4
"Parenchyma","ExNeuron11","Oligodendrocytes4",-0.496249955480846,0.503750044519154,0.880349091954763,4
"Parenchyma","ExNeuron11","Oligodendrocytes5",-0.343784385481667,0.656215614518333,0.928101469378433,4
"Parenchyma","ExNeuron11","Oligodendrocytes6",-0.264732485865351,0.735267514134649,0.946090882810535,4
"Parenchyma","ExNeuron11","Oligodendrocytes7",-0.572878917023923,0.427121082976077,0.852432039073204,4
"Parenchyma","ExNeuron11","Oligodendrocytes8",-0.532341312436605,0.467658687563395,0.865055095362587,4
"Parenchyma","ExNeuron11","OPC1",-0.800116653569905,0.199883346430095,0.814210005134212,4
"Parenchyma","ExNeuron11","OPC2",-0.987273783405732,0.0127262165942684,0.711437672114937,4
"Parenchyma","ExNeuron11","OPC3",-0.0580003694581028,0.941999630541897,0.987811162726306,4
"Parenchyma","ExNeuron11","Pericytes",0.689326583751954,0.310673416248046,0.826628541225427,4
"Parenchyma","ExNeuron11","SMC",0.725600949250287,0.274399050749713,0.826123724439241,4
"Parenchyma","ExNeuron11","VLMC1",0.807661714469337,0.192338285530663,0.814210005134212,4
"Parenchyma","ExNeuron11","VLMC2",-0.97439699244826,0.0256030075517396,0.711437672114937,4
"Parenchyma","ExNeuron12","ExNeuron13",0.747414200672902,0.252585799327098,0.826123724439241,4
"Parenchyma","ExNeuron12","ExNeuron14",0.921993886009615,0.0780061139903854,0.740378053100563,4
"Parenchyma","ExNeuron12","ExNeuron2",-0.206622479895693,0.793377520104307,0.958842045713739,4
"Parenchyma","ExNeuron12","ExNeuron3",0.255280946403599,0.744719053596401,0.946458639674577,4
"Parenchyma","ExNeuron12","ExNeuron4",0.0901498715571038,0.909850128442896,0.979103145738918,4
"Parenchyma","ExNeuron12","ExNeuron5",0.361188075595256,0.638811924404744,0.92600888201528,4
"Parenchyma","ExNeuron12","ExNeuron6",0.722317099444609,0.277682900555391,0.826123724439241,4
"Parenchyma","ExNeuron12","ExNeuron7",0.265935982210082,0.734064017789918,0.946090882810535,4
"Parenchyma","ExNeuron12","ExNeuron8",0.895569095314311,0.104430904685689,0.743585953843347,4
"Parenchyma","ExNeuron12","ExNeuron9",0.700176032659527,0.299823967340473,0.826628541225427,4
"Parenchyma","ExNeuron12","Fibroblast",-0.233144893738033,0.766855106261967,0.952601772557366,4
"Parenchyma","ExNeuron12","InhNeuron1",0.612930105763309,0.387069894236691,0.852432039073204,4
"Parenchyma","ExNeuron12","InhNeuron2",0.486174228406874,0.513825771593126,0.880349091954763,4
"Parenchyma","ExNeuron12","InhNeuron3",0.925491486425083,0.0745085135749166,0.740378053100563,4
"Parenchyma","ExNeuron12","InhNeuron4",0.892400393187132,0.107599606812868,0.743585953843347,4
"Parenchyma","ExNeuron12","InhNeuron5",0.202996521810536,0.797003478189464,0.958842045713739,4
"Parenchyma","ExNeuron12","Microglia1",-0.850175232008029,0.149824767991971,0.78442539920821,4
"Parenchyma","ExNeuron12","Microglia2",-0.319527241898477,0.680472758101523,0.928101469378433,4
"Parenchyma","ExNeuron12","Microglia3",-0.413818600191244,0.586181399808756,0.915662867185568,4
"Parenchyma","ExNeuron12","Microglia4",-0.856231455040147,0.143768544959853,0.783160231754989,4
"Parenchyma","ExNeuron12","Microglia5",-0.987170968831259,0.0128290311687406,0.711437672114937,4
"Parenchyma","ExNeuron12","Oligodendrocytes1",-0.565667944961572,0.434332055038428,0.852432039073204,4
"Parenchyma","ExNeuron12","Oligodendrocytes2",0.236385925197705,0.763614074802295,0.951555735772971,4
"Parenchyma","ExNeuron12","Oligodendrocytes3",-0.979676531162124,0.0203234688378756,0.711437672114937,4
"Parenchyma","ExNeuron12","Oligodendrocytes4",-0.91022183303037,0.0897781669696295,0.743585953843347,4
