"contrast1","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","p_adj"
"Capillaries - Parenchyma","Amyloid_effect",0.180915240670289,0.218998221603141,Inf,-0.332351020050517,0.694181501391095,0.826103697764888,0.686798119650137,"ExNeuron8",0.999974772559645
"Arteries - Capillaries","Disease_effect",-0.333788506345,0.370222833363169,Inf,-1.20147997855305,0.533902965863055,-0.901588114684357,0.639293407493742,"ExNeuron9",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.253734245099268,0.336939686178959,Inf,-1.04341998568446,0.535951495485923,-0.753055385005913,0.731774866087245,"ExNeuron9",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",0.0800542612457323,0.36485220828094,Inf,-0.775050073799701,0.935158596291165,0.219415586445046,0.973809053563673,"ExNeuron9",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",0.131475078994673,0.308904007135377,Inf,-0.592503424133837,0.855453582123183,0.42561791351918,0.904986352196604,"ExNeuron9",0.999974772559645
"Arteries - Parenchyma","Amyloid_effect",0.133430219964607,0.258406274851789,Inf,-0.472196718323134,0.739057158252348,0.516358281319356,0.863366502685613,"ExNeuron9",0.999974772559645
"Capillaries - Parenchyma","Amyloid_effect",0.001955140969934,0.289030783177439,Inf,-0.675446475484847,0.679356757424715,0.00676447314171971,0.999974772559645,"ExNeuron9",0.999974772559645
"Arteries - Capillaries","Disease_effect",0.023911733356096,0.199741673129221,Inf,-0.444222943385416,0.492046410097608,0.119713292581796,0.992130125566778,"Fibroblast",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.312503983302735,0.178624951112035,Inf,-0.731147386238002,0.106139419632532,-1.7494979360791,0.186936930299051,"Fibroblast",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",-0.336415716658831,0.19990927272653,Inf,-0.804943196675088,0.132111763357426,-1.68284198161752,0.211753997126482,"Fibroblast",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",-0.0105215738315927,0.187268171637544,Inf,-0.449422097793863,0.428378950130678,-0.0561845279931346,0.998261144595829,"Fibroblast",0.999974772559645
"Arteries - Parenchyma","Amyloid_effect",0.115887847343642,0.153570678910709,Inf,-0.244035843103918,0.475811537791202,0.754622224539507,0.730824686166033,"Fibroblast",0.999974772559645
"Capillaries - Parenchyma","Amyloid_effect",0.126409421175234,0.182256121682689,Inf,-0.300744358361249,0.553563200711718,0.693581208730618,0.767243203409934,"Fibroblast",0.999974772559645
"Arteries - Capillaries","Disease_effect",0.0941182041454365,0.284832866275557,Inf,-0.573444751998437,0.761681160289311,0.330433090029658,0.941591697888932,"InhNeuron1",0.999939298369795
"Arteries - Parenchyma","Disease_effect",0.112783215340629,0.273444227946218,Inf,-0.52808818245537,0.753654613136628,0.412454181928504,0.91050346896224,"InhNeuron1",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",0.0186650111951924,0.290873595311568,Inf,-0.66305560514174,0.700385627532124,0.0641688056119341,0.997732423104885,"InhNeuron1",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",0.0371537458479471,0.211050698790647,Inf,-0.457485900984849,0.531793392680743,0.176041804461411,0.983060161154298,"InhNeuron1",0.999974772559645
"Arteries - Parenchyma","Amyloid_effect",0.151085411966605,0.18808133571901,Inf,-0.289720925131459,0.59189174906467,0.803298271936582,0.700973836632823,"InhNeuron1",0.999974772559645
"Capillaries - Parenchyma","Amyloid_effect",0.113931666118658,0.213519713273211,Inf,-0.386494611408462,0.614357943645778,0.533588512143026,0.854807974299761,"InhNeuron1",0.999974772559645
"Arteries - Capillaries","Disease_effect",0.0272926628226765,0.306914792373529,Inf,-0.692023716499028,0.746609042144381,0.0889258631413896,0.995649759007619,"InhNeuron2",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.0193798793277823,0.282931255460246,Inf,-0.682486029085852,0.643726270430287,-0.0684967777641143,0.997416638649655,"InhNeuron2",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",-0.0466725421504588,0.304592124298221,Inf,-0.760545282938561,0.667200198637644,-0.153229641961335,0.987139228505534,"InhNeuron2",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",0.0782834215044271,0.23242427165273,Inf,-0.466449480610804,0.623016323619658,0.336812592539354,0.939385559592846,"InhNeuron2",0.999974772559645
"Arteries - Parenchyma","Amyloid_effect",0.249227456479572,0.196218168384481,Inf,-0.210649180120218,0.709104093079363,1.27015484107069,0.412102145833153,"InhNeuron2",0.963899934321613
"Capillaries - Parenchyma","Amyloid_effect",0.170944034975145,0.22766017199582,Inf,-0.362623243973361,0.704511313923652,0.750873696863779,0.733096685132076,"InhNeuron2",0.999974772559645
